Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Export Quantity","Barley","2020","tonnes","1528"
"Crops and livestock products","Afghanistan","Export Quantity","Linseed","2020","tonnes","0"
"Crops and livestock products","Afghanistan","Export Quantity","Maize","2020","tonnes","215"
"Crops and livestock products","Afghanistan","Export Quantity","Oil, olive, virgin","2020","tonnes","0"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables, frozen","2020","tonnes","9"
"Crops and livestock products","Afghanistan","Export Quantity","Wheat","2020","tonnes","21"
"Crops and livestock products","Albania","Export Quantity","Oil, olive, virgin","2020","tonnes","16"
"Crops and livestock products","Algeria","Export Quantity","Maize","2020","tonnes","5"
"Crops and livestock products","Algeria","Export Quantity","Oil, olive, virgin","2020","tonnes","229"
"Crops and livestock products","Algeria","Export Quantity","Vegetables, frozen","2020","tonnes","34"
"Crops and livestock products","Algeria","Export Quantity","Wheat","2020","tonnes","5"
"Crops and livestock products","Angola","Export Quantity","Flour, cassava","2020","tonnes","43"
"Crops and livestock products","Angola","Export Quantity","Maize","2020","tonnes","84"
"Crops and livestock products","Angola","Export Quantity","Oil, olive, virgin","2020","tonnes","2"
"Crops and livestock products","Angola","Export Quantity","Vegetables, frozen","2020","tonnes","0"
"Crops and livestock products","Antigua and Barbuda","Export Quantity","Maize","2020","tonnes","105"
"Crops and livestock products","Antigua and Barbuda","Export Quantity","Sunflower seed","2020","tonnes","0"
"Crops and livestock products","Argentina","Export Quantity","Barley","2020","tonnes","2233130"
"Crops and livestock products","Argentina","Export Quantity","Linseed","2020","tonnes","3149"
"Crops and livestock products","Argentina","Export Quantity","Maize","2020","tonnes","36881996"
"Crops and livestock products","Argentina","Export Quantity","Oil, olive, virgin","2020","tonnes","22112"
"Crops and livestock products","Argentina","Export Quantity","Sunflower seed","2020","tonnes","206466"
"Crops and livestock products","Argentina","Export Quantity","Wheat","2020","tonnes","10196931"
"Crops and livestock products","Armenia","Export Quantity","Linseed","2020","tonnes","0"
"Crops and livestock products","Armenia","Export Quantity","Sunflower seed","2020","tonnes","67"
"Crops and livestock products","Armenia","Export Quantity","Vegetables, frozen","2020","tonnes","119"
"Crops and livestock products","Armenia","Export Quantity","Wheat","2020","tonnes","64"
"Crops and livestock products","Australia","Export Quantity","Barley","2020","tonnes","4258209"
"Crops and livestock products","Australia","Export Quantity","Linseed","2020","tonnes","32"
"Crops and livestock products","Australia","Export Quantity","Maize","2020","tonnes","49958"
"Crops and livestock products","Australia","Export Quantity","Oil, olive, virgin","2020","tonnes","2071"
"Crops and livestock products","Australia","Export Quantity","Sunflower seed","2020","tonnes","309"
