Domain,Area,Element,Item,Year,Value,Flag,Flag Description
"Crops and livestock products","Afghanistan","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Algeria","Export Value","Wheat","2018","13","R","Estimated data using trading partners database"
"Crops and livestock products","Argentina","Export Value","Wheat","2018","2419213","","Official data"
"Crops and livestock products","Armenia","Export Value","Wheat","2018","5","","Official data"
"Crops and livestock products","Australia","Export Value","Wheat","2018","3036049","","Official data"
"Crops and livestock products","Austria","Export Value","Wheat","2018","190680","","Official data"
"Crops and livestock products","Bahrain","Export Value","Wheat","2018","48","","Official data"
"Crops and livestock products","Bangladesh","Export Value","Wheat","2018","0","*","Unofficial figure"
"Crops and livestock products","Belarus","Export Value","Wheat","2018","14673","R","Estimated data using trading partners database"
"Crops and livestock products","Belgium","Export Value","Wheat","2018","198598","","Official data"
"Crops and livestock products","Bosnia and Herzegovina","Export Value","Wheat","2018","11734","","Official data"
"Crops and livestock products","Botswana","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Brazil","Export Value","Wheat","2018","40495","","Official data"
"Crops and livestock products","Bulgaria","Export Value","Wheat","2018","850850","","Official data"
"Crops and livestock products","Burundi","Export Value","Wheat","2018","1","","Official data"
"Crops and livestock products","Cameroon","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Canada","Export Value","Wheat","2018","5711500","","Official data"
"Crops and livestock products","Chile","Export Value","Wheat","2018","37","","Official data"
"Crops and livestock products","China, Hong Kong SAR","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","China, mainland","Export Value","Wheat","2018","3146","","Official data"
"Crops and livestock products","China, Taiwan Province of","Export Value","Wheat","2018","2","","Official data"
"Crops and livestock products","Colombia","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Costa Rica","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","C?te d'Ivoire","Export Value","Wheat","2018","200","","Official data"
"Crops and livestock products","Croatia","Export Value","Wheat","2018","105823","","Official data"
"Crops and livestock products","Cyprus","Export Value","Wheat","2018","1","","Official data"
"Crops and livestock products","Czechia","Export Value","Wheat","2018","405203","","Official data"
"Crops and livestock products","Democratic Republic of the Congo","Export Value","Wheat","2018","0","*","Unofficial figure"
"Crops and livestock products","Denmark","Export Value","Wheat","2018","102000","","Official data"
"Crops and livestock products","Dominican Republic","Export Value","Wheat","2018","185","","Official data"
"Crops and livestock products","Egypt","Export Value","Wheat","2018","2405","","Official data"
"Crops and livestock products","El Salvador","Export Value","Wheat","2018","425","","Official data"
"Crops and livestock products","Estonia","Export Value","Wheat","2018","48193","","Official data"
"Crops and livestock products","Eswatini","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Ethiopia","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Fiji","Export Value","Wheat","2018","1","","Official data"
"Crops and livestock products","Finland","Export Value","Wheat","2018","10953","","Official data"
"Crops and livestock products","France","Export Value","Wheat","2018","4111875","","Official data"
"Crops and livestock products","Georgia","Export Value","Wheat","2018","2734","","Official data"
"Crops and livestock products","Germany","Export Value","Wheat","2018","1159547","","Official data"
"Crops and livestock products","Ghana","Export Value","Wheat","2018","93","","Official data"
"Crops and livestock products","Greece","Export Value","Wheat","2018","87222","","Official data"
"Crops and livestock products","Guatemala","Export Value","Wheat","2018","256","","Official data"
"Crops and livestock products","Guinea","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Guyana","Export Value","Wheat","2018","345","","Official data"
"Crops and livestock products","Hungary","Export Value","Wheat","2018","445281","","Official data"
"Crops and livestock products","India","Export Value","Wheat","2018","46545","","Official data"
"Crops and livestock products","Indonesia","Export Value","Wheat","2018","540","","Official data"
"Crops and livestock products","Iran (Islamic Republic of)","Export Value","Wheat","2018","9808","R","Estimated data using trading partners database"
"Crops and livestock products","Iraq","Export Value","Wheat","2018","10","*","Unofficial figure"
"Crops and livestock products","Ireland","Export Value","Wheat","2018","4828","","Official data"
"Crops and livestock products","Israel","Export Value","Wheat","2018","335","","Official data"
"Crops and livestock products","Italy","Export Value","Wheat","2018","66849","","Official data"
"Crops and livestock products","Jordan","Export Value","Wheat","2018","23615","","Official data"
"Crops and livestock products","Kazakhstan","Export Value","Wheat","2018","971803","","Official data"
"Crops and livestock products","Kenya","Export Value","Wheat","2018","1154","","Official data"
"Crops and livestock products","Kuwait","Export Value","Wheat","2018","1058","","Official data"
"Crops and livestock products","Kyrgyzstan","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Latvia","Export Value","Wheat","2018","344721","","Official data"
"Crops and livestock products","Lebanon","Export Value","Wheat","2018","1441","","Official data"
"Crops and livestock products","Lesotho","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Lithuania","Export Value","Wheat","2018","378260","","Official data"
"Crops and livestock products","Luxembourg","Export Value","Wheat","2018","8515","","Official data"
"Crops and livestock products","Malaysia","Export Value","Wheat","2018","460","","Official data"
"Crops and livestock products","Mali","Export Value","Wheat","2018","35","","Official data"
